PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
Chris Owings,ARI,244,29,56,11,3,2,18,9,1,8,66,.230,.252,.324,.576
Ryan Howard,PHI,258,25,59,17,1,13,36,0,0,13,79,.229,.270,.453,.724
Ian Desmond,WSH,289,33,65,17,0,7,23,2,2,15,85,.225,.269,.356,.626
Will Middlebrooks,SD,234,23,52,7,2,9,28,2,1,10,55,.222,.250,.385,.635
Billy Hamilton,CIN,250,34,55,3,3,3,19,36,6,15,45,.220,.264,.292,.556
Jimmy Rollins,LAD,270,32,57,10,1,7,21,6,6,20,46,.211,.265,.333,.598
Chase Utley,PHI,218,18,39,7,1,4,25,3,0,21,32,.179,.257,.275,.532
Prince Fielder,TEX,288,38,101,18,0,12,48,0,0,28,37,.351,.418,.538,.957
Miguel Cabrera,DET,263,42,92,16,1,15,53,1,1,49,53,.350,.454,.589,1.043
Jason Kipnis,CLE,292,49,100,24,4,5,31,10,5,35,46,.342,.418,.503,.922
Jose Iglesias,DET,212,16,70,6,2,1,11,9,5,16,21,.330,.384,.392,.775
Mike Moustakas,KC,264,38,85,16,1,7,31,1,2,17,33,.322,.375,.470,.844
Jimmy Paredes,BAL,221,34,71,12,2,9,36,3,2,11,59,.321,.350,.516,.866
Dustin Pedroia,BOS,281,34,86,14,0,9,33,1,1,27,38,.306,.367,.452,.819
Manny Machado,BAL,292,50,89,17,1,15,43,11,2,28,52,.305,.362,.524,.886
Nelson Cruz,SEA,279,36,85,10,1,19,46,1,2,27,75,.305,.368,.552,.920
Josh Donaldson,TOR,302,58,91,18,0,18,48,3,0,27,64,.301,.360,.540,.900
Stephen Vogt,OAK,233,38,70,11,2,13,53,0,0,38,57,.300,.393,.532,.925
Brett Gardner,NYY,270,58,81,19,3,9,39,15,3,29,60,.300,.373,.493,.866
Mike Trout,LAA,280,55,84,18,1,19,42,8,3,38,76,.300,.389,.575,.964
Yoenis Cespedes,DET,287,43,86,22,2,10,42,3,4,14,67,.300,.330,.495,.825
Logan Forsythe,TB,263,29,78,15,1,8,32,7,2,27,47,.297,.381,.452,.833
Xander Bogaerts,BOS,265,32,78,15,3,3,31,4,1,13,41,.294,.329,.408,.736
Michael Brantley,CLE,252,27,74,22,0,4,37,8,1,31,22,.294,.367,.429,.796
Adam Jones,BAL,249,35,73,10,3,10,36,3,1,14,39,.293,.341,.478,.819
Lorenzo Cain,KC,249,44,73,13,3,6,33,15,3,19,50,.293,.351,.442,.793
Jose Altuve,HOU,281,35,82,14,0,6,30,21,7,18,30,.292,.333,.406,.739
Jose Abreu,CHW,275,43,80,13,2,13,41,0,0,15,57,.291,.343,.495,.838
Kendrys Morales,KC,265,37,77,19,0,9,48,0,0,23,43,.291,.351,.464,.815
Eric Hosmer,KC,272,40,79,14,2,8,40,4,2,27,53,.290,.354,.445,.799
Josh Reddick,OAK,265,33,76,11,3,10,46,3,1,24,27,.287,.345,.464,.809
